obs,gnut,male,land,labor,seed,agrochem,usehirlab,imprseed,earlypln,latepln,soil3,extens,socnet,farmtyp3,farmtyp2,dist1,dist2
424,4.143134594,0,-1.609437943,3.414212227,1.386294365,0,0,0,1,0,1,0,1,0,0,1,0
778,4.499809742,0,-1.609437943,3.095758677,1.609437943,0,0,1,1,0,0,0,0,0,0,0,1
682,3.988984108,0,-2.302585125,2.896077633,1.609437943,0,0,0,1,0,1,0,0,1,0,1,0
1641,6.040254593,1,-1.609437943,3.671580553,1.791759491,0,1,1,1,0,1,1,1,1,0,0,1
417,5.455321312,0,-1.203972816,3.796073198,2.708050251,0,1,1,0,0,0,0,1,1,0,0,0
1084,4.68213129,1,-1.609437943,3.333096981,2.708050251,0,0,1,0,0,0,0,1,0,0,1,0
537,4.499809742,0,-1.609437943,3.949684858,1.791759491,0,1,1,0,0,0,0,1,0,1,0,0
1316,4.68213129,1,-1.609437943,4.144340515,1.945910096,0,0,0,0,1,0,0,0,0,0,1,0
173,3.80666256,0,-2.302585125,2.520354271,1.098612309,0,0,0,0,0,1,0,0,0,1,1,0
924,5.087596416,1,-1.609437943,3.873074293,1.945910096,0,0,0,1,0,0,0,1,0,0,0,1
1344,4.499809742,1,-2.302585125,3.249909163,2.079441547,0,0,0,0,0,0,0,1,1,0,0,1
1089,5.087596416,1,-2.302585125,3.592203379,2.079441547,0,1,1,0,1,0,0,0,0,0,0,0
1465,3.295836926,1,-1.609437943,3.318902254,2.708050251,0,0,1,0,0,0,0,0,1,0,0,1
1163,5.981414318,1,-1.609437943,4.471627235,2.079441547,10.26875591,1,1,0,0,1,1,1,0,0,0,0
1479,5.34710741,1,-1.609437943,5.019172192,2.302585125,0,0,1,0,0,0,1,1,0,0,0,1
902,4.836281776,1,-1.609437943,3.593689203,1.098612309,0,0,1,0,1,0,0,0,0,0,0,0
997,5.087596416,1,-1.609437943,3.890165806,2.302585125,9.086815834,1,1,0,1,0,0,1,1,0,0,1
35,4.276666164,0,-2.302585125,3.771495819,1.609437943,0,1,1,0,0,0,1,1,0,0,0,0
146,4.836281776,0,-1.609437943,4.139731884,2.890371799,8.802371979,0,1,0,0,0,1,1,0,0,0,0
513,3.988984108,0,-2.302585125,2.913437128,1.098612309,0,0,1,0,0,0,0,1,1,0,1,0
919,4.787491798,1,-1.609437943,3.809525013,2.995732307,0,0,0,1,0,1,1,1,0,0,1,0
1578,3.583518982,1,-2.302585125,3.293834925,1.609437943,0,0,0,0,0,0,1,1,0,1,1,0
421,4.969813347,0,-1.609437943,3.93127656,2.079441547,0,0,0,0,0,0,0,1,1,0,1,0
666,4.941642284,0,-1.609437943,3.925787926,2.484906673,0,1,1,0,0,0,0,1,1,0,0,1
1157,4.969813347,1,-2.302585125,3.215670586,1.609437943,0,0,0,0,0,1,1,1,1,0,1,0
147,4.499809742,0,-1.609437943,4.011071682,3.68887949,0,0,0,0,0,1,0,0,0,1,1,0
1250,4.68213129,1,-2.302585125,3.943056345,0.693147182,0,0,1,0,1,0,1,0,0,0,0,0
860,5.703782558,1,-1.609437943,4.194370747,2.197224617,0,0,0,0,0,0,1,1,1,0,1,0
37,5.075173855,0,-2.120263577,2.674079657,2.302585125,0,1,0,0,0,1,1,1,0,0,1,0
1416,4.969813347,1,-1.609437943,3.847292423,3.401197433,0,0,0,0,0,0,1,1,0,1,0,0
703,3.295836926,0,-2.302585125,3.15580821,1.609437943,0,0,1,0,0,1,0,1,0,1,1,0
259,3.80666256,0,-1.609437943,3.597969532,2.484906673,0,0,0,0,0,1,0,1,1,0,0,1
436,3.988984108,0,-2.302585125,3.125092506,2.197224617,0,0,1,0,0,1,0,1,1,0,0,0
181,4.43081665,0,-2.302585125,2.610437393,1.609437943,0,1,1,1,0,0,1,1,1,0,1,0
1689,4.248495102,1,-2.120263577,3.175801277,1.791759491,0,0,0,1,0,0,0,1,1,0,1,0
67,5.375278473,0,-1.609437943,3.776294947,2.995732307,0,0,0,1,0,1,1,0,0,0,1,0
626,5.192956924,0,-1.609437943,4.454893589,2.302585125,0,1,1,1,0,1,0,1,1,0,1,0
561,5.192956924,0,-1.609437943,3.160229206,2.302585125,0,0,0,1,0,0,0,1,0,0,0,1
435,3.80666256,0,-1.609437943,2.87254715,1.609437943,0,0,0,0,0,1,0,0,0,1,1,0
247,5.192956924,0,-1.609437943,3.955159187,1.609437943,0,0,0,0,0,1,0,1,0,1,1,0
469,4.248495102,0,-2.120263577,2.55676198,1.609437943,0,0,1,0,0,0,0,0,1,0,1,0
1363,3.988984108,1,-2.302585125,2.625755072,2.302585125,0,0,1,0,0,1,1,1,1,0,1,0
1277,5.278114796,1,-1.609437943,3.350745916,2.302585125,0,0,1,0,0,0,0,0,0,1,0,1
1293,5.529428959,1,-1.609437943,4.130483627,3.912023067,0,1,0,1,0,0,0,1,0,0,1,0
1317,4.969813347,1,-1.609437943,4.012049198,1.609437943,0,0,0,1,0,1,0,1,1,0,1,0
722,6.291569233,0,-1.203972816,3.746346235,1.791759491,0,0,1,1,0,1,0,1,0,1,0,1
1703,5.59842205,1,-1.609437943,3.86894846,2.995732307,0,0,0,0,0,1,0,1,1,0,1,0
1269,4.276666164,1,-1.609437943,3.656743526,2.484906673,0,0,0,0,0,1,1,1,1,0,1,0
1359,6.109247684,1,-1.609437943,4.725030899,2.302585125,0,0,1,0,0,0,1,1,1,0,1,0
481,5.723585129,0,-1.609437943,4.021522999,1.945910096,0,0,1,0,1,0,0,1,1,0,0,0
681,4.276666164,0,-1.609437943,4.671295166,1.791759491,0,0,0,1,0,0,0,1,1,0,0,1
139,4.276666164,0,-2.302585125,2.414394855,0.693147182,0,0,1,0,0,1,1,1,1,0,0,0
1534,5.442417622,1,-1.609437943,3.911983013,1.945910096,0,0,0,0,0,0,1,1,0,1,1,0
1517,5.075173855,1,-1.609437943,3.525536776,1.386294365,0,0,0,0,1,0,0,1,0,0,0,1
579,4.836281776,0,-2.302585125,3.301598072,1.609437943,0,1,1,1,0,0,1,0,0,0,1,0
898,4.836281776,1,-2.302585125,3.880986214,2.302585125,0,1,0,0,0,0,0,1,0,1,1,0
1452,4.499809742,1,-1.609437943,5.010608673,1.609437943,0,0,0,1,0,0,0,0,0,1,0,1
1352,5.278114796,1,-1.609437943,3.753777266,1.609437943,0,0,1,0,0,0,1,1,1,0,0,1
831,5.659482002,1,-2.302585125,3.746393442,1.791759491,0,1,1,1,0,0,0,0,0,1,0,1
782,4.499809742,0,-1.27296567,3.865643978,1.791759491,0,0,1,0,0,0,0,0,0,0,0,1
1155,3.583518982,1,-2.302585125,3.354455233,2.890371799,0,0,1,0,0,0,0,0,0,1,0,0
830,5.192956924,1,-1.27296567,3.587842941,2.995732307,0,0,0,0,0,0,0,1,0,0,1,0
1227,5.59842205,1,-1.609437943,4.210912228,2.890371799,0,0,0,1,0,0,0,1,1,0,0,1
1032,4.68213129,1,-1.609437943,3.978147745,1.098612309,0,0,0,1,0,0,0,1,1,0,0,1
542,5.886104107,0,-1.609437943,3.933353901,2.995732307,0,1,1,0,0,1,1,1,1,0,0,1
336,5.192956924,0,-1.27296567,4.296877384,2.484906673,8.031385422,0,1,0,1,1,0,0,0,1,0,0
957,5.192956924,1,-2.302585125,3.911942959,2.302585125,0,0,1,0,0,0,0,1,1,0,0,1
